id,popularity,budget,revenue,original_title,runtime,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
82,1.114239,135000000.0,163794509.0,Miami Vice,134,2006-07-27,283,5.7,2006,146025336.36936203,177171468.68281102
9293,1.110072,18000000.0,41009669.0,John Tucker Must Die,87,2006-07-27,206,6.0,2006,19470044.8492483,44358894.149046004
9044,1.1094110000000001,31000000.0,28000000.0,Tristan & Isolde,125,2006-04-07,123,6.2,2006,33531743.907038696,30286736.432164002
3683,1.103135,90000000.0,65900249.0,Flags of Our Fathers,132,2006-10-19,308,6.7,2006,97350224.24624151,71282266.867035
1378,1.102933,2000000.0,5179037.0,Shortbus,101,2006-05-20,78,6.5,2006,2163338.31658314,5602004.59255091
9975,1.057194,50000000.0,69834815.0,Curious George,86,2006-02-10,68,5.8,2006,54083457.9145786,75538165.5604977
9708,1.0389540000000002,40000000.0,38755073.0,The Wicker Man,102,2006-09-01,179,4.0,2006,43266766.33166289,41920167.1914384
7516,1.027989,17000000.0,57103895.0,Smokin' Aces,109,2006-12-09,306,6.3,2006,18388375.690956697,61767522.0398203
9530,0.987722,50000000.0,87528173.0,RV,99,2006-04-28,251,5.7,2006,54083457.9145786,94676525.21570909
11170,0.969469,65000000.0,43545364.0,We Are Marshall,124,2006-12-12,107,6.5,2006,70308495.2889522,47101677.2253801
1491,0.965931,40000000.0,86915017.0,The Illusionist,110,2006-08-18,967,7.0,2006,43266766.33166289,94013293.28128771
9988,0.9414809999999999,17500000.0,19179969.0,Beerfest,110,2006-08-25,88,5.8,2006,18929210.2701025,20746380.924288396
1441,0.92958,25000000.0,5549200.0,The Contract,96,2006-04-05,90,5.4,2006,27041728.9572893,6002398.49319159
1717,0.928134,55000000.0,9450897.0,All the King's Men,125,2006-09-10,51,5.4,2006,59491803.7060365,10222743.803090302
11565,0.920528,40000000.0,138259062.0,Big Momma's House 2,99,2006-01-26,231,5.6,2006,43266766.33166289,149550563.219722
3093,0.916551,70000000.0,38629478.0,Basic Instinct 2,114,2006-03-29,101,4.5,2006,75716841.0804101,41784314.9535028
2295,0.913299,5000000.0,26888376.0,Clerks II,97,2006-05-25,195,6.9,2006,5408345.79145786,29084327.0357473
